jobname,vc,user,state,submit_time,gpu_num,duration,remain,start_time,end_time,ckpt_times,queue,jct,status,nodes,priority,random
application_1506638472019_2214,e13805,573fbf,COMPLETED,10546,1,127974,0,10560.0,138534.0,0,14.0,127988.0,end,[{0: 1}],-1,0
application_1506638472019_2248,e13805,573fbf,COMPLETED,20723,1,2858,0,20760.0,23618.0,0,37.0,2895.0,end,[{0: 1}],-1,0
application_1506638472019_2255,e13805,573fbf,COMPLETED,23716,4,23931,0,23760.0,47691.0,0,44.0,23975.0,end,[{0: 4}],-1,0
application_1506638472019_2334,e13805,e73d22,COMPLETED,35971,1,602337,0,36000.0,638337.0,0,29.0,602366.0,end,[{0: 1}],-1,0
application_1506638472019_2425,e13805,573fbf,COMPLETED,66112,1,7603,0,66120.0,73723.0,0,8.0,7611.0,end,[{0: 1}],-1,0
application_1506638472019_2456,e13805,573fbf,COMPLETED,73909,4,35143,0,73920.0,109063.0,0,11.0,35154.0,end,[{0: 4}],-1,0
application_1506638472019_2608,e13805,573fbf,COMPLETED,109218,1,5420,0,109260.0,114680.0,0,42.0,5462.0,end,[{0: 1}],-1,0
application_1506638472019_3238,e13805,573fbf,COMPLETED,114814,4,26253,0,114840.0,141093.0,0,26.0,26279.0,end,[{0: 4}],-1,0
application_1506638472019_16459,e13805,ffe5b7,CANCELLED,701025,8,275628,0,701040.0,976668.0,0,15.0,275643.0,end,[{0: 8}],-1,0
application_1506638472019_16564,e13805,ffe5b7,CANCELLED,702224,8,88500,0,702240.0,790740.0,0,16.0,88516.0,end,[{1: 8}],-1,0
application_1506638472019_19123,e13805,e73d22,FAILED,801939,4,52,0,801960.0,802012.0,0,21.0,73.0,end,[{1: 4}],-1,0
application_1506638472019_19180,e13805,e73d22,FAILED,802713,4,1634,0,802740.0,804374.0,0,27.0,1661.0,end,[{1: 4}],-1,0
application_1506638472019_19583,e13805,ffe5b7,FAILED,807542,4,56,0,807600.0,807656.0,0,58.0,114.0,end,[{1: 4}],-1,0
application_1506638472019_19646,e13805,e73d22,FAILED,808202,4,114,0,808260.0,808374.0,0,58.0,172.0,end,[{1: 4}],-1,0
application_1506638472019_19687,e13805,ffe5b7,FAILED,809003,4,89,0,809040.0,809129.0,0,37.0,126.0,end,[{1: 4}],-1,0
application_1506638472019_19721,e13805,ffe5b7,CANCELLED,810291,4,4522,0,810300.0,814822.0,0,9.0,4531.0,end,[{1: 4}],-1,0
application_1506638472019_19961,e13805,ffe5b7,FAILED,815447,4,1167,0,815460.0,816627.0,0,13.0,1180.0,end,[{1: 4}],-1,0
application_1506638472019_19990,e13805,e4b6b5,COMPLETED,816409,1,51679,0,816420.0,868099.0,0,11.0,51690.0,end,[{1: 1}],-1,0
application_1506638472019_19991,e13805,e4b6b5,COMPLETED,816409,1,51408,0,816420.0,867828.0,0,11.0,51419.0,end,[{1: 1}],-1,0
application_1506638472019_19995,e13805,e4b6b5,COMPLETED,817187,1,50173,0,817200.0,867373.0,0,13.0,50186.0,end,[{1: 1}],-1,0
application_1506638472019_20014,e13805,e4b6b5,COMPLETED,819046,1,65890,0,819060.0,884950.0,0,14.0,65904.0,end,[{1: 1}],-1,0
application_1506638472019_20019,e13805,ffe5b7,CANCELLED,819636,4,685,0,819660.0,820345.0,0,24.0,709.0,end,[{1: 4}],-1,0
application_1506638472019_20069,e13805,ffe5b7,CANCELLED,820595,4,71065,0,820620.0,891685.0,0,25.0,71090.0,end,[{1: 4}],-1,0
application_1506638472019_20665,e13805,ffe5b7,CANCELLED,865568,8,33904,0,865620.0,899524.0,0,52.0,33956.0,end,[{2: 8}],-1,0
application_1506638472019_21820,e13805,1d3286,CANCELLED,891994,8,423463,0,892020.0,1315483.0,0,26.0,423489.0,end,[{1: 8}],-1,0
application_1506638472019_21946,e13805,ffe5b7,CANCELLED,893476,8,454,0,893520.0,893974.0,0,44.0,498.0,end,[{3: 8}],-1,0
application_1506638472019_22034,e13805,1d3286,CANCELLED,894449,8,56383,0,894480.0,950863.0,0,31.0,56414.0,end,[{3: 8}],-1,0
application_1506638472019_22036,e13805,ffe5b7,FAILED,894758,8,161,0,894780.0,894941.0,0,22.0,183.0,end,[{4: 8}],-1,0
application_1506638472019_22043,e13805,ffe5b7,CANCELLED,895834,8,665,0,895860.0,896525.0,0,26.0,691.0,end,[{4: 8}],-1,0
application_1506638472019_22053,e13805,ffe5b7,COMPLETED,896714,8,144,0,896760.0,896904.0,0,46.0,190.0,end,[{4: 8}],-1,0
application_1506638472019_22059,e13805,ffe5b7,CANCELLED,897602,8,1188,0,897660.0,898848.0,0,58.0,1246.0,end,[{4: 8}],-1,0
application_1506638472019_22076,e13805,ffe5b7,COMPLETED,898937,8,469,0,898980.0,899449.0,0,43.0,512.0,end,[{4: 8}],-1,0
application_1506638472019_22468,e13805,ffe5b7,CANCELLED,907386,8,142058,0,907440.0,1049498.0,0,54.0,142112.0,end,[{2: 8}],-1,0
application_1506638472019_23047,e13805,573fbf,COMPLETED,937089,1,63665,0,937140.0,1000805.0,0,51.0,63716.0,end,[{4: 1}],-1,0
application_1506638472019_24048,e13805,e4b6b5,FAILED,951981,1,1035,0,952020.0,953055.0,0,39.0,1074.0,end,[{4: 1}],-1,0
application_1506638472019_24063,e13805,ffe5b7,FAILED,952163,8,259,0,952200.0,952459.0,0,37.0,296.0,end,[{3: 8}],-1,0
application_1506638472019_24349,e13805,ffe5b7,CANCELLED,956216,8,20230,0,956220.0,976450.0,0,4.0,20234.0,end,[{3: 8}],-1,0
application_1506638472019_24748,e13805,ffe5b7,FAILED,976530,8,13148,0,976560.0,989708.0,0,30.0,13178.0,end,[{3: 8}],-1,0
application_1506638472019_25171,e13805,e73d22,FAILED,979857,1,280559,0,979860.0,1260419.0,0,3.0,280562.0,end,[{4: 1}],-1,0
application_1506638472019_25688,e13805,1d3286,FAILED,984971,8,58,0,985020.0,985078.0,0,49.0,107.0,end,[{0: 8}],-1,0
application_1506638472019_25743,e13805,cdebec,COMPLETED,987081,1,17664,0,987120.0,1004784.0,0,39.0,17703.0,end,[{4: 1}],-1,0
application_1506638472019_26240,e13805,573fbf,COMPLETED,1003042,1,40364,0,1003080.0,1043444.0,0,38.0,40402.0,end,[{4: 1}],-1,0
application_1506638472019_26241,e13805,cdebec,COMPLETED,1003133,1,52254,0,1003140.0,1055394.0,0,7.0,52261.0,end,[{4: 1}],-1,0
application_1506638472019_26419,e13805,cdebec,COMPLETED,1014706,1,2038,0,1014720.0,1016758.0,0,14.0,2052.0,end,[{4: 1}],-1,0
application_1506638472019_26443,e13805,cdebec,COMPLETED,1016916,4,14381,0,1016940.0,1031321.0,0,24.0,14405.0,end,[{4: 4}],-1,0
application_1506638472019_26974,e13805,cdebec,COMPLETED,1031479,1,2164,0,1031520.0,1033684.0,0,41.0,2205.0,end,[{4: 1}],-1,0
application_1506638472019_27014,e13805,573fbf,COMPLETED,1032331,1,5147,0,1032360.0,1037507.0,0,29.0,5176.0,end,[{4: 1}],-1,0
application_1506638472019_27668,e13805,573fbf,CANCELLED,1044192,1,35,0,1044240.0,1044275.0,0,48.0,83.0,end,[{4: 1}],-1,0
application_1506638472019_27672,e13805,573fbf,COMPLETED,1044493,4,32747,0,1044540.0,1077287.0,0,47.0,32794.0,end,[{4: 4}],-1,0
application_1506638472019_27760,e13805,ffe5b7,FAILED,1049970,8,224067,0,1050000.0,1274067.0,0,30.0,224097.0,end,[{0: 8}],-1,0
application_1506638472019_27768,e13805,ffe5b7,CANCELLED,1051074,4,6061,0,1051080.0,1057141.0,0,6.0,6067.0,end,[{2: 4}],-1,0
application_1506638472019_27769,e13805,ffe5b7,CANCELLED,1051098,2,6914,0,1051140.0,1058054.0,0,42.0,6956.0,end,[{4: 2}],-1,0
application_1506638472019_27777,e13805,cdebec,COMPLETED,1052414,4,9325,0,1052460.0,1061785.0,0,46.0,9371.0,end,[{2: 4}],-1,0
application_1506638472019_27816,e13805,cdebec,COMPLETED,1054716,1,135298,0,1054740.0,1190038.0,0,24.0,135322.0,end,[{3: 1}],-1,0
application_1506638472019_28089,e13805,ffe5b7,FAILED,1057065,4,38,0,1057080.0,1057118.0,0,15.0,53.0,end,[{3: 4}],-1,0
application_1506638472019_28252,e13805,573fbf,COMPLETED,1059930,1,47086,0,1059960.0,1107046.0,0,30.0,47116.0,end,[{4: 1}],-1,0
application_1506638472019_28253,e13805,573fbf,COMPLETED,1059951,1,877,0,1059960.0,1060837.0,0,9.0,886.0,end,[{4: 1}],-1,0
application_1506638472019_28484,e13805,573fbf,COMPLETED,1062503,4,41970,0,1062540.0,1104510.0,0,37.0,42007.0,end,[{3: 4}],-1,0
application_1506638472019_28679,e13805,cdebec,COMPLETED,1064645,1,29959,0,1064700.0,1094659.0,0,55.0,30014.0,end,[{4: 1}],-1,0
application_1506638472019_29068,e13805,573fbf,COMPLETED,1079052,1,5829,0,1079100.0,1084929.0,0,48.0,5877.0,end,[{3: 1}],-1,0
application_1506638472019_29096,e13805,573fbf,COMPLETED,1085037,4,36384,0,1085040.0,1121424.0,0,3.0,36387.0,end,[{4: 4}],-1,0
application_1506638472019_29108,e13805,cdebec,COMPLETED,1088511,1,32172,0,1088520.0,1120692.0,0,9.0,32181.0,end,[{4: 1}],-1,0
application_1506638472019_29109,e13805,cdebec,FAILED,1088675,1,171869,0,1088700.0,1260569.0,0,25.0,171894.0,end,[{3: 1}],-1,0
application_1506638472019_29114,e13805,cdebec,COMPLETED,1090833,1,82713,0,1090860.0,1173573.0,0,27.0,82740.0,end,[{3: 1}],-1,0
application_1506638472019_29119,e13805,cdebec,COMPLETED,1092339,1,94511,0,1092360.0,1186871.0,0,21.0,94532.0,end,[{3: 1}],-1,0
application_1506638472019_29382,e13805,573fbf,COMPLETED,1112140,1,1145,0,1112160.0,1113305.0,0,20.0,1165.0,end,[{4: 1}],-1,0
application_1506638472019_29395,e13805,573fbf,COMPLETED,1113758,4,14416,0,1113780.0,1128196.0,0,22.0,14438.0,end,[{3: 4}],-1,0
application_1506638472019_29800,e13805,ffe5b7,COMPLETED,1136435,1,113279,0,1136460.0,1249739.0,0,25.0,113304.0,end,[{3: 1}],-1,0
application_1506638472019_29933,e13805,573fbf,COMPLETED,1149146,1,5666,0,1149180.0,1154846.0,0,34.0,5700.0,end,[{3: 1}],-1,0
application_1506638472019_29976,e13805,573fbf,COMPLETED,1154999,4,15866,0,1155000.0,1170866.0,0,1.0,15867.0,end,[{4: 4}],-1,0
application_1506638472019_29981,e13805,cdebec,COMPLETED,1155812,1,103339,0,1155840.0,1259179.0,0,28.0,103367.0,end,[{3: 1}],-1,0
application_1506638472019_29984,e13805,cdebec,FAILED,1156487,1,104033,0,1156500.0,1260533.0,0,13.0,104046.0,end,[{3: 1}],-1,0
application_1506638472019_29987,e13805,1d3286,CANCELLED,1157580,8,1323,0,1157580.0,1158903.0,0,0.0,1323.0,end,[{2: 8}],-1,0
application_1506638472019_29989,e13805,cdebec,COMPLETED,1158449,1,99615,0,1158480.0,1258095.0,0,31.0,99646.0,end,[{3: 1}],-1,0
application_1506638472019_29991,e13805,1d3286,CANCELLED,1159265,8,1462,0,1159320.0,1160782.0,0,55.0,1517.0,end,[{2: 8}],-1,0
application_1506638472019_30001,e13805,1d3286,CANCELLED,1160848,8,3822,0,1160880.0,1164702.0,0,32.0,3854.0,end,[{2: 8}],-1,0
application_1506638472019_30521,e13805,573fbf,COMPLETED,1170994,1,4917,0,1171020.0,1175937.0,0,26.0,4943.0,end,[{4: 1}],-1,0
application_1506638472019_31004,e13805,573fbf,COMPLETED,1176056,4,13838,0,1176060.0,1189898.0,0,4.0,13842.0,end,[{4: 4}],-1,0
application_1506638472019_31035,e13805,1d3286,FAILED,1178250,8,82643,0,1178280.0,1260923.0,0,30.0,82673.0,end,[{2: 8}],-1,0
application_1506638472019_31243,e13805,1d3286,FAILED,1190101,8,30,0,1190160.0,1190190.0,0,59.0,89.0,end,[{5: 8}],-1,0
application_1506638472019_31247,e13805,1d3286,FAILED,1192078,8,50,0,1192080.0,1192130.0,0,2.0,52.0,end,[{5: 8}],-1,0
application_1506638472019_31931,e13805,1d3286,COMPLETED,1266690,8,1171,0,1266720.0,1267891.0,0,30.0,1201.0,end,[{2: 8}],-1,0
application_1506638472019_31932,e13805,1d3286,CANCELLED,1266828,8,214199,0,1266840.0,1481039.0,0,12.0,214211.0,end,[{3: 8}],-1,0
application_1506638472019_32155,e13805,ffe5b7,COMPLETED,1302481,8,58,0,1302540.0,1302598.0,0,59.0,117.0,end,[{0: 8}],-1,0
application_1506638472019_32173,e13805,ffe5b7,COMPLETED,1303057,4,50,0,1303080.0,1303130.0,0,23.0,73.0,end,[{0: 4}],-1,0
application_1506638472019_32216,e13805,ffe5b7,CANCELLED,1304209,8,17242,0,1304220.0,1321462.0,0,11.0,17253.0,end,[{0: 8}],-1,0
application_1506638472019_32217,e13805,ffe5b7,CANCELLED,1304424,8,106491,0,1304460.0,1410951.0,0,36.0,106527.0,end,[{2: 8}],-1,0
application_1506638472019_32261,e13805,1d3286,CANCELLED,1306760,8,88377,0,1306800.0,1395177.0,0,40.0,88417.0,end,[{4: 8}],-1,0
application_1506638472019_32295,e13805,ffe5b7,CANCELLED,1308418,1,1014,0,1308420.0,1309434.0,0,2.0,1016.0,end,[{5: 1}],-1,0
application_1506638472019_32318,e13805,cdebec,COMPLETED,1309166,1,187831,0,1309200.0,1497031.0,0,34.0,187865.0,end,[{5: 1}],-1,0
application_1506638472019_32320,e13805,ffe5b7,CANCELLED,1309338,1,680,0,1309380.0,1310060.0,0,42.0,722.0,end,[{5: 1}],-1,0
application_1506638472019_32338,e13805,ffe5b7,COMPLETED,1310343,1,278,0,1310400.0,1310678.0,0,57.0,335.0,end,[{5: 1}],-1,0
application_1506638472019_32630,e13805,ffe5b7,COMPLETED,1315445,1,362,0,1315500.0,1315862.0,0,55.0,417.0,end,[{5: 1}],-1,0
application_1506638472019_32685,e13805,1d3286,CANCELLED,1317236,8,2906,0,1317240.0,1320146.0,0,4.0,2910.0,end,[{1: 8}],-1,0
application_1506638472019_32780,e13805,ffe5b7,COMPLETED,1318571,1,266,0,1318620.0,1318886.0,0,49.0,315.0,end,[{5: 1}],-1,0
application_1506638472019_32781,e13805,ffe5b7,COMPLETED,1318573,1,168,0,1318620.0,1318788.0,0,47.0,215.0,end,[{5: 1}],-1,0
application_1506638472019_32783,e13805,ffe5b7,COMPLETED,1318610,1,220,0,1318620.0,1318840.0,0,10.0,230.0,end,[{5: 1}],-1,0
application_1506638472019_32803,e13805,abff9a,FAILED,1319416,1,234218,0,1319460.0,1553678.0,0,44.0,234262.0,end,[{5: 1}],-1,0
application_1506638472019_32808,e13805,ffe5b7,CANCELLED,1319592,1,662,0,1319640.0,1320302.0,0,48.0,710.0,end,[{5: 1}],-1,0
application_1506638472019_32809,e13805,ffe5b7,CANCELLED,1319596,1,1449,0,1319640.0,1321089.0,0,44.0,1493.0,end,[{5: 1}],-1,0
application_1506638472019_32810,e13805,ffe5b7,COMPLETED,1319615,1,302,0,1319640.0,1319942.0,0,25.0,327.0,end,[{5: 1}],-1,0
application_1506638472019_32824,e13805,1d3286,CANCELLED,1320426,8,86790,0,1320480.0,1407270.0,0,54.0,86844.0,end,[{1: 8}],-1,0
application_1506638472019_32832,e13805,ffe5b7,FAILED,1321301,1,42,0,1321320.0,1321362.0,0,19.0,61.0,end,[{5: 1}],-1,0
application_1506638472019_32833,e13805,ffe5b7,CANCELLED,1321856,8,243455,0,1321860.0,1565315.0,0,4.0,243459.0,end,[{0: 8}],-1,0
application_1506638472019_32835,e13805,ffe5b7,CANCELLED,1322314,1,2137,0,1322340.0,1324477.0,0,26.0,2163.0,end,[{5: 1}],-1,0
application_1506638472019_32842,e13805,cdebec,COMPLETED,1323107,1,117730,0,1323120.0,1440850.0,0,13.0,117743.0,end,[{5: 1}],-1,0
application_1506638472019_32872,e13805,ffe5b7,CANCELLED,1326580,1,13,0,1326600.0,1326613.0,0,20.0,33.0,end,[{5: 1}],-1,0
application_1506638472019_32884,e13805,ffe5b7,COMPLETED,1327573,1,250,0,1327620.0,1327870.0,0,47.0,297.0,end,[{5: 1}],-1,0
application_1506638472019_32911,e13805,ffe5b7,COMPLETED,1328505,1,228,0,1328520.0,1328748.0,0,15.0,243.0,end,[{5: 1}],-1,0
application_1506638472019_32970,e13805,e73d22,COMPLETED,1334869,1,338,0,1334880.0,1335218.0,0,11.0,349.0,end,[{5: 1}],-1,0
application_1506638472019_32976,e13805,e73d22,COMPLETED,1335384,1,993,0,1335420.0,1336413.0,0,36.0,1029.0,end,[{5: 1}],-1,0
application_1506638472019_32977,e13805,e73d22,COMPLETED,1335415,1,281,0,1335420.0,1335701.0,0,5.0,286.0,end,[{5: 1}],-1,0
application_1506638472019_32979,e13805,e73d22,COMPLETED,1335419,4,2747,0,1335420.0,1338167.0,0,1.0,2748.0,end,[{6: 4}],-1,0
application_1506638472019_32983,e13805,e73d22,COMPLETED,1335813,1,260,0,1335840.0,1336100.0,0,27.0,287.0,end,[{5: 1}],-1,0
application_1506638472019_32984,e13805,e73d22,COMPLETED,1335876,4,4393,0,1335900.0,1340293.0,0,24.0,4417.0,end,[{6: 4}],-1,0
application_1506638472019_32988,e13805,e73d22,COMPLETED,1336302,4,7405,0,1336320.0,1343725.0,0,18.0,7423.0,end,[{5: 4}],-1,0
application_1506638472019_32990,e13805,e73d22,COMPLETED,1336703,4,4482,0,1336740.0,1341222.0,0,37.0,4519.0,end,[{7: 4}],-1,0
application_1506638472019_33026,e13805,e73d22,COMPLETED,1343997,1,299,0,1344000.0,1344299.0,0,3.0,302.0,end,[{5: 1}],-1,0
application_1506638472019_33028,e13805,e73d22,FAILED,1344511,4,869,0,1344540.0,1345409.0,0,29.0,898.0,end,[{5: 4}],-1,0
application_1506638472019_33046,e13805,e73d22,COMPLETED,1349522,1,343,0,1349580.0,1349923.0,0,58.0,401.0,end,[{5: 1}],-1,0
application_1506638472019_33048,e13805,e73d22,COMPLETED,1350079,4,11456,0,1350120.0,1361576.0,0,41.0,11497.0,end,[{5: 4}],-1,0
application_1506638472019_33125,e13805,e73d22,COMPLETED,1357728,1,4645,0,1357740.0,1362385.0,0,12.0,4657.0,end,[{5: 1}],-1,0
application_1506638472019_33138,e13805,e73d22,COMPLETED,1358436,1,313,0,1358460.0,1358773.0,0,24.0,337.0,end,[{6: 1}],-1,0
application_1506638472019_33155,e13805,e73d22,FAILED,1359143,4,892,0,1359180.0,1360072.0,0,37.0,929.0,end,[{6: 4}],-1,0
application_1506638472019_33181,e13805,e73d22,FAILED,1362574,4,912,0,1362600.0,1363512.0,0,26.0,938.0,end,[{5: 4}],-1,0
application_1506638472019_35026,e13805,1d3286,CANCELLED,1397082,8,223003,0,1397100.0,1620103.0,0,18.0,223021.0,end,[{4: 8}],-1,0
application_1506638472019_35037,e13805,e73d22,COMPLETED,1398221,1,35205,0,1398240.0,1433445.0,0,19.0,35224.0,end,[{5: 1}],-1,0
application_1506638472019_35038,e13805,e73d22,COMPLETED,1398286,1,40467,0,1398300.0,1438767.0,0,14.0,40481.0,end,[{5: 1}],-1,0
application_1506638472019_35704,e13805,ffe5b7,CANCELLED,1411218,8,41,0,1411260.0,1411301.0,0,42.0,83.0,end,[{1: 8}],-1,0
application_1506638472019_35750,e13805,ffe5b7,CANCELLED,1411700,8,493790,0,1411740.0,1905530.0,0,40.0,493830.0,end,[{1: 8}],-1,0
application_1506638472019_38086,e13805,e73d22,COMPLETED,1479711,1,15899,0,1479720.0,1495619.0,0,9.0,15908.0,end,[{5: 1}],-1,0
application_1506638472019_38498,e13805,1d3286,FAILED,1489235,8,5103,0,1489260.0,1494363.0,0,25.0,5128.0,end,[{2: 8}],-1,0
application_1506638472019_38626,e13805,1d3286,CANCELLED,1497784,8,31405,0,1497840.0,1529245.0,0,56.0,31461.0,end,[{2: 8}],-1,0
application_1506638472019_38690,e13805,cdebec,CANCELLED,1509605,8,484811,0,1509660.0,1994471.0,0,55.0,484866.0,end,[{3: 8}],-1,0
application_1508364558011_0366,e13805,ffe5b7,CANCELLED,1565277,8,416,0,1565280.0,1565696.0,0,3.0,419.0,end,[{2: 8}],-1,0
application_1508364558011_0459,e13805,ffe5b7,FAILED,1565710,8,419848,0,1565760.0,1985608.0,0,50.0,419898.0,end,[{0: 8}],-1,0
application_1508364558011_0469,e13805,ffe5b7,FAILED,1566230,8,355737,0,1566240.0,1921977.0,0,10.0,355747.0,end,[{2: 8}],-1,0
application_1508364558011_0493,e13805,1d3286,FAILED,1567913,8,8398,0,1567920.0,1576318.0,0,7.0,8405.0,end,[{5: 8}],-1,0
application_1508364558011_0502,e13805,cdebec,CANCELLED,1569442,8,7420,0,1569480.0,1576900.0,0,38.0,7458.0,end,[{6: 8}],-1,0
application_1508364558011_0507,e13805,cdebec,FAILED,1569443,8,347430,0,1569480.0,1916910.0,0,37.0,347467.0,end,[{7: 8}],-1,0
application_1508364558011_0510,e13805,1d3286,CANCELLED,1569443,8,139724,0,1569480.0,1709204.0,0,37.0,139761.0,end,[{8: 8}],-1,0
application_1508364558011_0512,e13805,cdebec,CANCELLED,1569443,8,7273,0,1569480.0,1576753.0,0,37.0,7310.0,end,[{9: 8}],-1,0
application_1508364558011_0612,e13805,1d3286,CANCELLED,1576808,8,130599,0,1576860.0,1707459.0,0,52.0,130651.0,end,[{5: 8}],-1,0
application_1508364558011_0957,e13805,1d3286,FAILED,1593368,8,37,0,1593420.0,1593457.0,0,52.0,89.0,end,[{6: 8}],-1,0
application_1508364558011_0958,e13805,1d3286,CANCELLED,1593512,8,25432,0,1593540.0,1618972.0,0,28.0,25460.0,end,[{6: 8}],-1,0
application_1508364558011_0961,e13805,8f78d3,CANCELLED,1593720,8,114609,0,1593720.0,1708329.0,0,0.0,114609.0,end,[{9: 8}],-1,0
application_1508364558011_1192,e13805,e73d22,COMPLETED,1619411,1,17545,0,1619460.0,1637005.0,0,49.0,17594.0,end,[{6: 1}],-1,0
application_1508364558011_1210,e13805,1d3286,CANCELLED,1620338,8,89132,0,1620360.0,1709492.0,0,22.0,89154.0,end,[{4: 8}],-1,0
application_1508364558011_1290,e13805,1d3286,CANCELLED,1621003,8,83437,0,1621020.0,1704457.0,0,17.0,83454.0,end,[{10: 8}],-1,0
application_1508364558011_1369,e13805,e73d22,COMPLETED,1622755,1,11054,0,1622760.0,1633814.0,0,5.0,11059.0,end,[{6: 1}],-1,0
application_1508364558011_1471,e13805,e73d22,COMPLETED,1634041,4,27412,0,1634100.0,1661512.0,0,59.0,27471.0,end,[{6: 4}],-1,0
application_1508364558011_1616,e13805,e73d22,COMPLETED,1637140,4,36045,0,1637160.0,1673205.0,0,20.0,36065.0,end,[{6: 4}],-1,0
application_1508364558011_2064,e13805,d6099a,FAILED,1643891,2,58,0,1643940.0,1643998.0,0,49.0,107.0,end,[{11: 2}],-1,0
application_1508364558011_2954,e13805,d6099a,CANCELLED,1659253,2,2068576,0,1659300.0,3727876.0,0,47.0,2068623.0,end,[{11: 2}],-1,0
application_1508364558011_3086,e13805,e73d22,COMPLETED,1661773,1,12399,0,1661820.0,1674219.0,0,47.0,12446.0,end,[{6: 1}],-1,0
application_1508364558011_4047,e13805,e73d22,COMPLETED,1673427,1,14712,0,1673460.0,1688172.0,0,33.0,14745.0,end,[{11: 1}],-1,0
application_1508364558011_4441,e13805,e73d22,COMPLETED,1674371,4,30634,0,1674420.0,1705054.0,0,49.0,30683.0,end,[{11: 4}],-1,0
application_1508364558011_4518,e13805,e9ddff,FAILED,1686219,8,190,0,1686240.0,1686430.0,0,21.0,211.0,end,[{6: 8}],-1,0
application_1508364558011_4521,e13805,e9ddff,FAILED,1686902,8,81,0,1686960.0,1687041.0,0,58.0,139.0,end,[{6: 8}],-1,0
application_1508364558011_4525,e13805,e73d22,COMPLETED,1688468,4,38298,0,1688520.0,1726818.0,0,52.0,38350.0,end,[{6: 4}],-1,0
application_1508364558011_5384,e13805,1d3286,COMPLETED,1706929,8,271177,0,1706940.0,1978117.0,0,11.0,271188.0,end,[{10: 8}],-1,0
application_1508364558011_5431,e13805,1d3286,CANCELLED,1707618,8,147981,0,1707660.0,1855641.0,0,42.0,148023.0,end,[{5: 8}],-1,0
application_1508364558011_5481,e13805,1d3286,CANCELLED,1709368,8,209318,0,1709400.0,1918718.0,0,32.0,209350.0,end,[{8: 8}],-1,0
application_1508364558011_6943,e13805,ffe5b7,COMPLETED,1768981,1,150829,0,1769040.0,1919869.0,0,59.0,150888.0,end,[{11: 1}],-1,0
application_1508364558011_9671,e13805,ffe5b7,FAILED,1839487,4,69,0,1839540.0,1839609.0,0,53.0,122.0,end,[{11: 4}],-1,0
application_1508364558011_9836,e13805,ffe5b7,FAILED,1840411,4,71,0,1840440.0,1840511.0,0,29.0,100.0,end,[{11: 4}],-1,0
application_1508364558011_10353,e13805,ffe5b7,FAILED,1841061,4,951,0,1841100.0,1842051.0,0,39.0,990.0,end,[{11: 4}],-1,0
application_1508364558011_12253,e13805,e9ddff,FAILED,1922832,8,103,0,1922880.0,1922983.0,0,48.0,151.0,end,[{1: 8}],-1,0
application_1508364558011_12809,e13805,1d3286,FAILED,1936287,8,39,0,1936320.0,1936359.0,0,33.0,72.0,end,[{1: 8}],-1,0
application_1508364558011_12812,e13805,1d3286,CANCELLED,1936685,8,7120,0,1936740.0,1943860.0,0,55.0,7175.0,end,[{1: 8}],-1,0
application_1508364558011_12815,e13805,1d3286,CANCELLED,1936867,8,89085,0,1936920.0,2026005.0,0,53.0,89138.0,end,[{2: 8}],-1,0
application_1508364558011_12907,e13805,1d3286,CANCELLED,1939100,8,85309,0,1939140.0,2024449.0,0,40.0,85349.0,end,[{4: 8}],-1,0
application_1508364558011_12932,e13805,1d3286,FAILED,1943945,8,207009,0,1944000.0,2151009.0,0,55.0,207064.0,end,[{1: 8}],-1,0
application_1508364558011_14102,e13805,e9ddff,FAILED,2005441,8,36,0,2005500.0,2005536.0,0,59.0,95.0,end,[{0: 8}],-1,0
application_1508364558011_14168,e13805,e9ddff,FAILED,2008086,8,1847,0,2008140.0,2009987.0,0,54.0,1901.0,end,[{0: 8}],-1,0
application_1508364558011_14317,e13805,cdebec,CANCELLED,2009748,8,11379,0,2009760.0,2021139.0,0,12.0,11391.0,end,[{3: 8}],-1,0
application_1508364558011_14383,e13805,cdebec,FAILED,2012567,8,960,0,2012580.0,2013540.0,0,13.0,973.0,end,[{0: 8}],-1,0
application_1508364558011_14391,e13805,e9ddff,FAILED,2012991,8,744,0,2013000.0,2013744.0,0,9.0,753.0,end,[{5: 8}],-1,0
application_1508364558011_14406,e13805,cdebec,FAILED,2013658,8,29,0,2013660.0,2013689.0,0,2.0,31.0,end,[{0: 8}],-1,0
application_1508364558011_14470,e13805,e9ddff,FAILED,2014107,8,55,0,2014140.0,2014195.0,0,33.0,88.0,end,[{0: 8}],-1,0
application_1508364558011_14513,e13805,e9ddff,FAILED,2018888,8,835,0,2018940.0,2019775.0,0,52.0,887.0,end,[{0: 8}],-1,0
application_1508364558011_14517,e13805,ffe5b7,CANCELLED,2018964,4,1227,0,2019000.0,2020227.0,0,36.0,1263.0,end,[{11: 4}],-1,0
application_1508364558011_14520,e13805,ffe5b7,FAILED,2019031,4,161,0,2019060.0,2019221.0,0,29.0,190.0,end,[{5: 4}],-1,0
application_1508364558011_14536,e13805,ffe5b7,FAILED,2019547,4,160,0,2019600.0,2019760.0,0,53.0,213.0,end,[{5: 4}],-1,0
application_1508364558011_14545,e13805,e9ddff,FAILED,2020582,8,57,0,2020620.0,2020677.0,0,38.0,95.0,end,[{0: 8}],-1,0
application_1508364558011_14547,e13805,ffe5b7,FAILED,2020606,4,994,0,2020620.0,2021614.0,0,14.0,1008.0,end,[{11: 4}],-1,0
